timeline;exp_id;pb_type;alone;sex;id
before;20230301_n66_fam_2;fam;alone;F;66
playback;20230301_n66_fam_2;fam;alone;F;78
after;20230301_n66_fam_2;fam;alone;F;222
before;20230301_n66_nbg_1;nbg;not_alone;F;0
playback;20230301_n66_nbg_1;nbg;not_alone;F;5
after;20230301_n66_nbg_1;nbg;not_alone;F;0
before;20230301_n66_str_3;str;not_alone;F;68
playback;20230301_n66_str_3;str;not_alone;F;30
after;20230301_n66_str_3;str;not_alone;F;40
before;20230302_n491_fam_1;fam;alone;M;140
playback;20230302_n491_fam_1;fam;alone;M;42
after;20230302_n491_fam_1;fam;alone;M;0
before;20230302_n491_str_2;str;alone;M;33
playback;20230302_n491_str_2;str;alone;M;51
after;20230302_n491_str_2;str;alone;M;0
before;20230302_n491_ctr_1;ctr;alone;F;0
playback;20230302_n491_ctr_1;ctr;alone;F;0
after;20230302_n491_ctr_1;ctr;alone;F;0
before;20230303_n376_fam_4;fam;alone;F;65
playback;20230303_n376_fam_4;fam;alone;F;10
after;20230303_n376_fam_4;fam;alone;F;8
before;20230303_n376_str_2;str;alone;NA;46
playback;20230303_n376_str_2;str;alone;NA;84
after;20230303_n376_str_2;str;alone;NA;7
before;20230303_n376_str_3;str;alone;F;111
playback;20230303_n376_str_3;str;alone;F;40
after;20230303_n376_str_3;str;alone;F;0
before;20230306_n66_fam_1;fam;alone;NA;14
playback;20230306_n66_fam_1;fam;alone;NA;44
after;20230306_n66_fam_1;fam;alone;NA;4
before;20230306_n66_fam_6;fam;not_alone;NA;70
playback;20230306_n66_fam_6;fam;not_alone;NA;71
after;20230306_n66_fam_6;fam;not_alone;NA;85
before;20230306_n66_nbg_3;nbg;not_alone;M;29
playback;20230306_n66_nbg_3;nbg;not_alone;M;202
after;20230306_n66_nbg_3;nbg;not_alone;M;27
before;20230306_n66_nbg_4;nbg;alone;F;2
playback;20230306_n66_nbg_4;nbg;alone;F;23
after;20230306_n66_nbg_4;nbg;alone;F;1
before;20230306_n66_str_2;str;not_alone;NA;22
playback;20230306_n66_str_2;str;not_alone;NA;94
after;20230306_n66_str_2;str;not_alone;NA;102
before;20230306_n66_str_5;str;not_alone;M;138
playback;20230306_n66_str_5;str;not_alone;M;91
after;20230306_n66_str_5;str;not_alone;M;4
before;20230309_n491_fam_3;fam;alone;F;22
playback;20230309_n491_fam_3;fam;alone;F;7
after;20230309_n491_fam_3;fam;alone;F;0
before;20230309_n491_fam_6;fam;not_alone;F;5
playback;20230309_n491_fam_6;fam;not_alone;F;42
after;20230309_n491_fam_6;fam;not_alone;F;16
before;20230309_n491_nbg_1;nbg;alone;F;25
playback;20230309_n491_nbg_1;nbg;alone;F;29
after;20230309_n491_nbg_1;nbg;alone;F;3
before;20230309_n491_nbg_4;nbg;not_alone;F;0
playback;20230309_n491_nbg_4;nbg;not_alone;F;121
after;20230309_n491_nbg_4;nbg;not_alone;F;55
before;20230309_n491_str_2;str;alone;F;0
playback;20230309_n491_str_2;str;alone;F;49
after;20230309_n491_str_2;str;alone;F;66
before;20230309_n491_str_5;str;not_alone;M;105
playback;20230309_n491_str_5;str;not_alone;M;46
after;20230309_n491_str_5;str;not_alone;M;36
before;20230310_n376_ctr_4;ctr;not_alone;F;111
playback;20230310_n376_ctr_4;ctr;not_alone;F;153
after;20230310_n376_ctr_4;ctr;not_alone;F;99
before;20230310_n376_fam_3;fam;not_alone;F;9
playback;20230310_n376_fam_3;fam;not_alone;F;5
after;20230310_n376_fam_3;fam;not_alone;F;37
before;20230310_n376_nbg_1;nbg;not_alone;F;97
playback;20230310_n376_nbg_1;nbg;not_alone;F;90
after;20230310_n376_nbg_1;nbg;not_alone;F;176
before;20230310_n376_nbg_5;nbg;not_alone;F;163
playback;20230310_n376_nbg_5;nbg;not_alone;F;212
after;20230310_n376_nbg_5;nbg;not_alone;F;116
before;20230310_n376_str_2;str;not_alone;F;151
playback;20230310_n376_str_2;str;not_alone;F;119
after;20230310_n376_str_2;str;not_alone;F;29
before;20230311_n66_fam_2;fam;not_alone;M;6
playback;20230311_n66_fam_2;fam;not_alone;M;40
after;20230311_n66_fam_2;fam;not_alone;M;0
before;20230311_n66_nbg_1;nbg;not_alone;M;39
playback;20230311_n66_nbg_1;nbg;not_alone;M;38
after;20230311_n66_nbg_1;nbg;not_alone;M;0
before;20230311_n66_nbg_3;nbg;alone;NA;8
playback;20230311_n66_nbg_3;nbg;alone;NA;27
after;20230311_n66_nbg_3;nbg;alone;NA;52
before;20230311_n66_nbg_6;nbg;alone;M;39
playback;20230311_n66_nbg_6;nbg;alone;M;22
after;20230311_n66_nbg_6;nbg;alone;M;2
before;20230311_n66_str_4;str;alone;NA;55
playback;20230311_n66_str_4;str;alone;NA;111
after;20230311_n66_str_4;str;alone;NA;55
