exp_id;pb_type;Behavior;timeline;alone;indiv;duration;diff;perc_diff;dim
20230318_n66_fam_1;fam;Basking;after;not_alone;10049;0;-2;-1;0
20230318_n66_fam_1;fam;Exploration;after;not_alone;10049;0;-5,425;-1;0
20230318_n66_fam_1;fam;Nest;after;not_alone;10049;60,116;8,791;0,171281052;1
20230318_n66_fam_1;fam;Basking;before;not_alone;10049;2;0;0;0
20230318_n66_fam_1;fam;Exploration;before;not_alone;10049;5,425;0;0;0
20230318_n66_fam_1;fam;Nest;before;not_alone;10049;51,325;0;0;0
20230318_n66_fam_1;fam;Basking;playback;not_alone;10049;32,038;30,038;1;1
20230318_n66_fam_1;fam;Exploration;playback;not_alone;10049;2,076;-3,349;-0,617327189;0
20230318_n66_fam_1;fam;Nest;playback;not_alone;10049;25,886;-25,439;-0,495645397;0
20230318_n66_str_2;str;Basking;after;alone;10436;0;-10,019;-1;0
20230318_n66_str_2;str;Exploration;after;alone;10436;0;-23,199;-1;0
20230318_n66_str_2;str;Nest;after;alone;10436;59,681;33,649;1;1
20230318_n66_str_2;str;Basking;before;alone;10436;10,019;0;0;0
20230318_n66_str_2;str;Exploration;before;alone;10436;23,199;0;0;0
20230318_n66_str_2;str;Nest;before;alone;10436;26,032;0;0;0
20230318_n66_str_2;str;Basking;playback;alone;10436;0;-10,019;-1;0
20230318_n66_str_2;str;Exploration;playback;alone;10436;0,065;-23,134;-0,997198155;0
20230318_n66_str_2;str;Nest;playback;alone;10436;59,684;33,652;1;1
20230311_n66_ctr_5;ctr;Basking;after;not_alone;10436;60,099;0,099;0,00165;1
20230311_n66_ctr_5;ctr;Basking;before;not_alone;10436;60;0;0;0
20230311_n66_ctr_5;ctr;Basking;playback;not_alone;10436;60;0;0;0
20230301_n66_fam_2;fam;Basking;after;alone;10450;60,059;54,365;1;1
20230301_n66_fam_2;fam;Exploration;after;alone;10450;0;-26,513;-1;0
20230306_n66_nbg_4;nbg;Nest;after;alone;10450;60,413;27,173;0,817478941;1
20230301_n66_fam_2;fam;Vigilance;after;alone;10450;0;-16,756;-1;0
20230306_n66_nbg_4;nbg;Vigilance;after;alone;10450;0;-25,764;-1;0
20230301_n66_fam_2;fam;Basking;before;alone;10450;5,694;0;0;0
20230301_n66_fam_2;fam;Exploration;before;alone;10450;26,513;0;0;0
20230306_n66_nbg_4;nbg;Nest;before;alone;10450;33,24;0;0;0
20230301_n66_fam_2;fam;Vigilance;before;alone;10450;16,756;0;0;0
