;exp_id;timeline;Behavior;pb_type;alone;indiv;duration;diff;perc_diff;dim;mod
1;20230318_n66_fam_1;after;Basking;fam;not_alone;10049;0;-2;-1;0;1
2;20230318_n66_fam_1;after;Exploration;fam;not_alone;10049;0;-5,425;-1;0;1
3;20230318_n66_fam_1;after;Nest;fam;not_alone;10049;60,116;8,791;0,171281052;1;2
4;20230318_n66_fam_1;after;Vigilance;fam;not_alone;10049;NA;NA;NA;NA;NA
5;20230318_n66_fam_1;before;Basking;fam;not_alone;10049;2;0;0;0;2
6;20230318_n66_fam_1;before;Exploration;fam;not_alone;10049;5,425;0;0;0;2
7;20230318_n66_fam_1;before;Nest;fam;not_alone;10049;51,325;0;0;0;2
8;20230318_n66_fam_1;before;Vigilance;fam;not_alone;10049;NA;NA;NA;NA;NA
9;20230318_n66_fam_1;playback;Basking;fam;not_alone;10049;32,038;30,038;1;1;3
10;20230318_n66_fam_1;playback;Exploration;fam;not_alone;10049;2,076;-3,349;-0,617327189;0;1
11;20230318_n66_fam_1;playback;Nest;fam;not_alone;10049;25,886;-25,439;-0,495645397;0;1
12;20230318_n66_fam_1;playback;Vigilance;fam;not_alone;10049;NA;NA;NA;NA;NA
13;20230311_n66_ctr_5;after;Basking;ctr;not_alone;10436;60,099;0,099;0,00165;1;2
14;20230311_n66_ctr_5;after;Exploration;ctr;not_alone;10436;NA;NA;NA;NA;NA
15;20230311_n66_ctr_5;after;Nest;ctr;not_alone;10436;NA;NA;NA;NA;NA
16;20230311_n66_ctr_5;after;Vigilance;ctr;not_alone;10436;NA;NA;NA;NA;NA
17;20230311_n66_ctr_5;before;Basking;ctr;not_alone;10436;60;0;0;0;2
18;20230311_n66_ctr_5;before;Exploration;ctr;not_alone;10436;NA;NA;NA;NA;NA
19;20230311_n66_ctr_5;before;Nest;ctr;not_alone;10436;NA;NA;NA;NA;NA
20;20230311_n66_ctr_5;before;Vigilance;ctr;not_alone;10436;NA;NA;NA;NA;NA
21;20230311_n66_ctr_5;playback;Basking;ctr;not_alone;10436;60;0;0;0;2
22;20230311_n66_ctr_5;playback;Exploration;ctr;not_alone;10436;NA;NA;NA;NA;NA
23;20230311_n66_ctr_5;playback;Nest;ctr;not_alone;10436;NA;NA;NA;NA;NA
24;20230311_n66_ctr_5;playback;Vigilance;ctr;not_alone;10436;NA;NA;NA;NA;NA
25;20230301_n66_fam_2;after;Basking;fam;alone;10450;60,059;54,365;1;1;3
26;20230301_n66_fam_2;after;Exploration;fam;alone;10450;0;-26,513;-1;0;1
27;20230301_n66_fam_2;after;Nest;fam;alone;10450;NA;NA;NA;NA;NA
28;20230301_n66_fam_2;after;Vigilance;fam;alone;10450;0;-16,756;-1;0;1
29;20230301_n66_fam_2;before;Basking;fam;alone;10450;5,694;0;0;0;2
30;20230301_n66_fam_2;before;Exploration;fam;alone;10450;26,513;0;0;0;2
31;20230301_n66_fam_2;before;Nest;fam;alone;10450;NA;NA;NA;NA;NA
32;20230301_n66_fam_2;before;Vigilance;fam;alone;10450;16,756;0;0;0;2
33;20230301_n66_fam_2;playback;Basking;fam;alone;10450;60;54,306;1;1;3
34;20230301_n66_fam_2;playback;Exploration;fam;alone;10450;0;-26,513;-1;0;1
35;20230301_n66_fam_2;playback;Nest;fam;alone;10450;NA;NA;NA;NA;NA
36;20230301_n66_fam_2;playback;Vigilance;fam;alone;10450;0;-16,756;-1;0;1
37;20230318_n66_ctr_5;after;Basking;ctr;not_alone;10450;60,09;0,09;0,0015;1;2
38;20230318_n66_ctr_5;after;Exploration;ctr;not_alone;10450;NA;NA;NA;NA;NA
39;20230318_n66_ctr_5;after;Nest;ctr;not_alone;10450;NA;NA;NA;NA;NA
40;20230318_n66_ctr_5;after;Vigilance;ctr;not_alone;10450;NA;NA;NA;NA;NA
41;20230318_n66_ctr_5;before;Basking;ctr;not_alone;10450;60;0;0;0;2
42;20230318_n66_ctr_5;before;Exploration;ctr;not_alone;10450;NA;NA;NA;NA;NA
43;20230318_n66_ctr_5;before;Nest;ctr;not_alone;10450;NA;NA;NA;NA;NA
44;20230318_n66_ctr_5;before;Vigilance;ctr;not_alone;10450;NA;NA;NA;NA;NA
45;20230318_n66_ctr_5;playback;Basking;ctr;not_alone;10450;60;0;0;0;2
46;20230318_n66_ctr_5;playback;Exploration;ctr;not_alone;10450;NA;NA;NA;NA;NA
47;20230318_n66_ctr_5;playback;Nest;ctr;not_alone;10450;NA;NA;NA;NA;NA
48;20230318_n66_ctr_5;playback;Vigilance;ctr;not_alone;10450;NA;NA;NA;NA;NA
49;20230318_n66_str_4;after;Basking;str;not_alone;10450;51,681;-8,319;-0,13865;0;2
50;20230318_n66_str_4;after;Exploration;str;not_alone;10450;8,252;8,252;1;1;3
51;20230318_n66_str_4;after;Nest;str;not_alone;10450;NA;NA;NA;NA;NA
52;20230318_n66_str_4;after;Vigilance;str;not_alone;10450;NA;NA;NA;NA;NA
53;20230318_n66_str_4;before;Basking;str;not_alone;10450;60;0;0;0;2
54;20230318_n66_str_4;before;Exploration;str;not_alone;10450;0;0;0;0;2
55;20230318_n66_str_4;before;Nest;str;not_alone;10450;NA;NA;NA;NA;NA
56;20230318_n66_str_4;before;Vigilance;str;not_alone;10450;NA;NA;NA;NA;NA
57;20230318_n66_str_4;playback;Basking;str;not_alone;10450;60;0;0;0;2
58;20230318_n66_str_4;playback;Exploration;str;not_alone;10450;0;0;0;0;2
59;20230318_n66_str_4;playback;Nest;str;not_alone;10450;NA;NA;NA;NA;NA
60;20230318_n66_str_4;playback;Vigilance;str;not_alone;10450;NA;NA;NA;NA;NA
61;20230315_n376_nbg_1;after;Basking;nbg;alone;10478;0;-13,466;-1;0;1
62;20230315_n376_nbg_1;after;Exploration;nbg;alone;10478;0;-46,534;-1;0;1
63;20230315_n376_nbg_1;after;Nest;nbg;alone;10478;60,172;60,172;1;1;3
64;20230315_n376_nbg_1;after;Vigilance;nbg;alone;10478;NA;NA;NA;NA;NA
65;20230315_n376_nbg_1;before;Basking;nbg;alone;10478;13,466;0;0;0;2
66;20230315_n376_nbg_1;before;Exploration;nbg;alone;10478;46,534;0;0;0;2
67;20230315_n376_nbg_1;before;Nest;nbg;alone;10478;0;0;0;0;2
68;20230315_n376_nbg_1;before;Vigilance;nbg;alone;10478;NA;NA;NA;NA;NA
69;20230315_n376_nbg_1;playback;Basking;nbg;alone;10478;7,306;-6,16;-0,457448389;0;1
70;20230315_n376_nbg_1;playback;Exploration;nbg;alone;10478;26,03;-20,504;-0,44062406;0;1
