X;exp_id;timeline;Behavior;pb_type;alone;indiv;duration;diff;perc_diff;dim;mod;ZOdur;ZOdur_beta
9;20230318_n66_fam_1;playback;Basking;fam;not_alone;10049;32.038;30.038;1;1;3;0.529772633;0.529772633
10;20230318_n66_fam_1;playback;Exploration;fam;not_alone;10049;2.076;-3.349;-0.617327189;0;1;0.034328235;0.034328235
12;20230318_n66_fam_1;playback;Vigilance;fam;not_alone;10049;0;0;0;0;2;0;2.00E-16
21;20230311_n66_ctr_5;playback;Basking;ctr;not_alone;10436;60;0;0;0;2;0.992145515;0.992145515
22;20230311_n66_ctr_5;playback;Exploration;ctr;not_alone;10436;0;0;0;0;2;0;2.00E-16
24;20230311_n66_ctr_5;playback;Vigilance;ctr;not_alone;10436;0;0;0;0;2;0;2.00E-16
33;20230301_n66_fam_2;playback;Basking;fam;alone;10450;60;54.306;1;1;3;0.992145515;0.992145515
34;20230301_n66_fam_2;playback;Exploration;fam;alone;10450;0;-26.513;-1;0;1;0;2.00E-16
36;20230301_n66_fam_2;playback;Vigilance;fam;alone;10450;0;-16.756;-1;0;1;0;2.00E-16
45;20230318_n66_ctr_5;playback;Basking;ctr;not_alone;10450;60;0;0;0;2;0.992145515;0.992145515
46;20230318_n66_ctr_5;playback;Exploration;ctr;not_alone;10450;0;0;0;0;2;0;2.00E-16
48;20230318_n66_ctr_5;playback;Vigilance;ctr;not_alone;10450;0;0;0;0;2;0;2.00E-16
57;20230318_n66_str_4;playback;Basking;str;not_alone;10450;60;0;0;0;2;0.992145515;0.992145515
58;20230318_n66_str_4;playback;Exploration;str;not_alone;10450;0;0;0;0;2;0;2.00E-16
60;20230318_n66_str_4;playback;Vigilance;str;not_alone;10450;0;0;0;0;2;0;2.00E-16
69;20230315_n376_nbg_1;playback;Basking;nbg;alone;10478;7.306;-6.16;-0.457448389;0;1;0.120810252;0.120810252
70;20230315_n376_nbg_1;playback;Exploration;nbg;alone;10478;26.03;-20.504;-0.44062406;0;1;0.430425796;0.430425796
72;20230315_n376_nbg_1;playback;Vigilance;nbg;alone;10478;0;0;0;0;2;0;2.00E-16
81;20230310_n376_nbg_1;playback;Basking;nbg;not_alone;10478;6.316;-18.646;-0.746975403;0;1;0.104439851;0.104439851
82;20230310_n376_nbg_1;playback;Exploration;nbg;not_alone;10478;2.134;2.134;1;1;3;0.035287309;0.035287309
84;20230310_n376_nbg_1;playback;Vigilance;nbg;not_alone;10478;51.55;51.55;1;1;3;0.852418355;0.852418355
93;20230310_n376_nbg_5;playback;Basking;nbg;not_alone;10478;27.815;-32.185;-0.536416667;0;1;0.459942125;0.459942125
94;20230310_n376_nbg_5;playback;Exploration;nbg;not_alone;10478;7.004;7.004;1;1;3;0.115816453;0.115816453
96;20230310_n376_nbg_5;playback;Vigilance;nbg;not_alone;10478;6.756;6.756;1;1;3;0.111715585;0.111715585
105;20230310_n376_str_2;playback;Basking;str;not_alone;10478;8.661;-51.339;-0.85565;0;1;0.143216205;0.143216205
106;20230310_n376_str_2;playback;Exploration;str;not_alone;10478;1.755;1.755;1;1;3;0.029020256;0.029020256
108;20230310_n376_str_2;playback;Vigilance;str;not_alone;10478;49.329;49.329;1;1;3;0.815692435;0.815692435
117;20230310_n376_ctr_4;playback;Basking;ctr;not_alone;10816;60;0;0;0;2;0.992145515;0.992145515
